NR,EXPERIMENTAL,ACC,RT,TIME,LEVEL,REVERSAL,REVERSAL_COUNT
1,0,0,-1,10,3,0,0
2,0,1,8.742443015999982,10,3,0,0
3,1,1,2.6701447080000094,16,5,0,0
4,1,1,1.8581562199999553,16,5,0,-
5,1,1,3.390328945999954,19,6,0,-
6,1,1,4.3423982950000095,19,6,0,-
7,1,1,2.9209448249999923,19,6,0,-
8,1,1,2.967544867000015,19,6,0,-
9,1,1,5.805395387999965,19,6,0,-
10,1,0,-1,19,6,0,-
11,1,0,-1,16,5,1,1
12,1,0,-1,13,4,0,-
