NR,EXPERIMENTAL,ACC,RT,TIME,LEVEL,REVERSAL,REVERSAL_COUNT,TRIAL_TYPE
1,0,0,-1,4,3,0,0,row
2,0,-1,1.6129734410005767,4,3,0,0,diagonal
3,1,0,-1,4,3,0,0,column
